Receiver_ID,Name,Type,City,Contact,lat,lon
1,Donald Gomez,Shelter,Port Carlburgh,(955)922-5295,,
2,Laurie Ramos,Individual,Lewisburgh,761.042.1570,18.2067476,-76.9042111
3,Ashley Mckee,NGO,South Randalltown,691-023-0094x856,,
4,Erika Rose,NGO,South Shaneville,8296491111,,
5,John Romero,Individual,Bakerport,067.491.0154,,
6,Mandy Sutton PhD,Shelter,East Sharimouth,682-777-5357,,
7,Kenneth Baker,NGO,South Edwinborough,126-645-6386x4071,,
8,James Perez,Charity,Benjaminburgh,+1-986-748-6688,,
9,Emily Turner,Shelter,West Robert,001-631-022-6157x520,18.7880711,-72.4940048
10,Mary Salazar,NGO,Wrightland,001-187-333-7518x11395,34.8373178,-90.7965012
11,Amber Pacheco,Individual,South Gregorymouth,+1-155-960-7276,,
12,Jennifer Bishop,NGO,Katherineside,+1-801-363-6355x49805,,
13,Jamie Sutton,Shelter,Lake Matthewstad,001-176-847-8920x2687,,
14,Brian Fischer,Shelter,Burkeside,947-041-3246x326,42.1124426,-71.0365748
15,Donald Kelly,NGO,Port Ronald,(935)798-5303,-34.8414233,138.6553467
16,Elizabeth Lewis,NGO,Port Tara,500.386.3867x7565,54.676349,-5.6025082
17,Melissa Castillo,NGO,Silvaport,(699)232-9544,,
18,Lisa Williams,NGO,Moranhaven,360-505-5780x95688,,
19,Courtney Sanders,NGO,North Cynthiaberg,001-083-754-0501,,
20,George Palmer,NGO,Sandrahaven,744.838.6083,,
21,Emily Davidson,NGO,Jonesside,001-893-473-0769x51510,,
22,Kristina Meza,Shelter,Lake Nicole,+1-125-160-0319,25.6887864,-80.4270083
23,Kurt Ward,Individual,Aliciabury,479-035-9976x19919,,
24,Tammy Moore,Individual,Monicafort,721.105.5278,,
25,Lisa Mcclain,NGO,Lake Elizabeth,292-153-9082x59361,34.666136,-118.3963585
26,Kimberly Lindsey,Charity,Port Matthewmouth,+1-979-511-1434x565,,
27,Johnny Page,NGO,Susanfurt,251.922.2940,,
28,Mary Franklin,Individual,Courtneyfurt,001-046-188-9986x12178,,
29,Nicholas Robinson,NGO,Lake Kendra,930-104-8973x8326,28.955409,-81.9103463
30,Bruce Sanchez,Shelter,North Heather,598.459.1819x6171,42.7486765,-89.0110925
31,Rose Powell,NGO,Spencermouth,247-152-7297x648,,
32,Audrey Perez,Individual,Taylorfort,637-025-7736,,
33,Anita Kerr,NGO,Walshfort,(568)992-9509,,
34,Megan Alvarez,Individual,North Robert,6244329386,52.0316469,7.3574804
35,James Castaneda,Shelter,South Rachaelhaven,932-277-2945x55052,,
36,Teresa Davis,Charity,Olsonville,001-737-507-3051x34768,43.1277838,-100.6090255
37,Angel Adams,Shelter,West Erik,+1-785-849-9596x994,52.3733148,4.8442937
38,Alexander Mullins,Charity,Josephview,(248)481-7680,,
39,John Ramirez,Shelter,Moorechester,(859)701-8773,,
40,Abigail Davis,Individual,West Carrie,(307)825-3197,-44.1185523,168.8691842
41,Julia Elliott,Shelter,Port Kellyburgh,+1-613-882-6551x33036,,
42,Maria Jacobs,NGO,Port Dawntown,(225)019-8954,,
43,Bobby Perry,Charity,Amberfort,(020)628-9733x57055,,
44,Andrew Lawson,Shelter,Davisborough,622.566.7870,,
45,Derek Potter,Charity,South Laurachester,497-372-7517x026,,
46,Kevin Lee,Charity,East Teresahaven,354.253.8089,,
47,Taylor Dean,Shelter,Moorechester,297-100-5658,,
48,Jennifer Graham,Individual,East Saraport,001-979-746-0394x487,,
49,Gabriel Nicholson,Charity,South Tonyaborough,030-052-3339x1285,,
50,Brian Gonzales,NGO,North Sarah,001-241-438-2803x907,9.2899576,13.3845996
51,Timothy Clark,Charity,Port Johnchester,217-662-1143x941,,
52,Cheryl Dillon,NGO,Hornemouth,350.146.1578,,
53,Cassandra Owens,Shelter,Tomburgh,001-813-193-7735x105,,
54,Veronica Howard,NGO,Higginsmouth,(517)632-2362x07333,,
55,Erika Rodriguez,Shelter,Larastad,001-732-132-0041x81457,,
56,Deborah Smith,Individual,Jasonshire,996.039.4276x36961,,
57,Christopher Lozano,Individual,New Mary,217-827-0862,45.9921596,-66.5968197
58,Julia Madden,Shelter,Michaelton,(321)207-8844,39.2109408,-76.6641349
59,Alicia Thomas,Charity,Lake Mary,(604)320-0347x3019,28.7562749,-81.322093
60,Jessica Rivas,NGO,Phillipborough,351-783-1595x022,,
61,John Vazquez,Charity,South Kathleenbury,(237)065-6422x5123,,
62,Nichole Lewis,NGO,North Catherinefurt,777-445-5269x5255,,
63,David Turner,Charity,East William,4456052297,53.3459534,-1.729821
64,Debra Sheppard,Shelter,North Darinshire,001-726-678-1689,,
65,Cody Gardner,NGO,Port Belinda,(565)395-0421x232,-33.9798655,25.5350923
66,Jade Jackson,Individual,West Jaclyn,098-158-2253x172,51.4239139,-2.5700651
67,Rodney Walker,Shelter,Strongshire,001-833-385-7777x5891,,
68,Wesley Thompson,Charity,Edwardburgh,+1-901-255-2891x97537,,
69,Scott Brown,NGO,East Dylan,302-197-9398x95559,36.1587149,-95.9915919
70,Carolyn Whitaker,Individual,Gregoryville,6651783261,47.1860368,-88.3926167
71,Timothy Daniel,Charity,New Gloriaburgh,001-562-181-9662x9861,,
72,Charles Davidson,Shelter,West Angelatown,+1-294-698-2957,,
73,Kimberly Mills,NGO,Christineton,288-821-5439,,
74,Patricia Smith,NGO,Laurafurt,(220)453-5600,,
75,Nicholas Smith,Charity,Manningtown,+1-605-970-1115,31.4132755,-81.8584465
76,Anna Lopez,Individual,North Jenniferside,001-805-624-5306,,
